iter	Passed	Remaining
0	2	237
1	4	233
2	6	225
3	8	205
4	16	313
5	20	322
6	24	329
7	30	350
8	42	425
9	45	409
10	48	393
11	53	391
12	88	594
13	92	570
14	107	609
15	113	596
16	120	590
17	127	578
18	134	571
19	138	553
20	139	526
21	141	501
22	142	478
23	144	457
24	145	437
25	147	419
26	148	402
27	150	387
28	152	372
29	153	358
30	155	345
31	156	332
32	157	320
33	162	314
34	163	304
35	165	294
36	167	284
37	168	275
38	170	266
39	171	257
40	173	249
41	173	240
42	175	232
43	176	224
44	177	217
45	179	210
46	180	203
47	182	197
48	183	191
49	185	185
50	186	179
51	187	173
52	189	167
53	190	162
54	191	156
55	192	151
56	194	146
57	196	142
58	198	137
59	200	133
60	202	129
61	203	124
62	205	120
63	206	116
64	207	111
65	209	107
66	210	103
67	211	99
68	213	95
69	214	91
70	215	88
71	217	84
72	219	81
73	220	77
74	221	73
75	223	70
76	225	67
77	228	64
78	230	61
79	231	57
80	232	54
81	234	51
82	236	48
83	237	45
84	239	42
85	240	39
86	241	36
87	243	33
88	244	30
89	246	27
90	247	24
91	249	21
92	250	18
93	252	16
94	254	13
95	256	10
96	257	7
97	258	5
98	260	2
99	262	0
