iter	Passed	Remaining
0	266	266412
1	268	133979
2	270	89776
3	271	67675
4	275	54727
5	278	46102
6	280	39776
7	282	35032
8	284	31339
9	286	28359
10	289	26053
11	292	24041
12	293	22306
13	295	20845
14	298	19578
15	299	18445
16	301	17435
17	307	16764
18	309	15991
19	313	15371
20	315	14712
21	317	14093
22	321	13644
23	323	13142
24	324	12661
25	326	12226
26	327	11812
27	329	11427
28	330	11066
29	331	10731
30	334	10453
31	336	10165
32	337	9897
33	339	9636
34	340	9388
35	341	9152
36	343	8945
37	345	8734
38	346	8531
39	347	8340
40	349	8177
41	351	8013
42	352	7849
43	353	7690
44	355	7548
45	357	7407
46	358	7266
47	359	7132
48	360	7003
49	363	6907
50	364	6790
51	366	6685
52	368	6584
53	370	6497
54	372	6397
55	373	6302
56	375	6209
57	376	6121
58	378	6039
59	380	5956
60	381	5877
61	390	5914
62	398	5922
63	399	5843
64	401	5772
65	402	5696
66	403	5621
67	404	5549
68	406	5480
69	408	5430
70	410	5366
71	411	5305
72	413	5247
73	414	5187
74	415	5127
75	416	5069
76	418	5012
77	419	4957
78	420	4904
79	422	4856
80	423	4808
81	425	4763
82	426	4709
83	427	4662
84	428	4614
85	430	4574
86	431	4530
87	433	4489
88	434	4446
89	435	4403
90	438	4377
91	439	4337
92	441	4302
93	442	4267
94	443	4229
95	445	4192
96	446	4155
97	447	4119
98	448	4083
99	449	4049
100	451	4014
101	452	3988
102	454	3956
103	455	3925
104	456	3894
105	458	3862
106	459	3832
107	460	3801
108	461	3772
109	462	3745
110	464	3717
111	465	3694
112	467	3669
113	469	3647
114	470	3621
115	471	3595
116	472	3567
117	473	3542
118	475	3518
119	476	3494
120	477	3470
121	478	3445
122	480	3425
123	482	3406
124	484	3388
125	485	3365
126	486	3342
127	487	3320
128	488	3298
129	489	3277
130	490	3256
131	492	3235
132	493	3216
133	495	3200
134	496	3183
135	498	3166
136	499	3147
137	500	3128
138	502	3109
139	503	3091
140	504	3072
141	505	3052
142	506	3035
143	507	3019
144	509	3005
145	511	2990
146	513	2981
147	516	2970
148	517	2954
149	518	2938
150	520	2927
151	522	2913
152	523	2898
153	526	2890
154	527	2874
155	528	2861
156	530	2846
157	531	2831
158	532	2816
159	533	2801
160	534	2785
161	535	2770
162	536	2756
163	538	2744
164	541	2737
165	542	2726
166	543	2712
167	544	2698
168	546	2685
169	547	2675
170	549	2664
171	550	2651
172	551	2638
173	553	2626
174	555	2619
175	557	2609
176	558	2596
177	559	2584
178	560	2572
179	561	2560
180	563	2548
181	564	2536
182	565	2525
183	566	2513
184	567	2501
185	570	2496
186	571	2486
187	573	2475
188	574	2464
189	575	2453
190	576	2442
191	577	2432
192	579	2421
193	580	2410
194	581	2400
195	582	2390
196	585	2386
197	587	2379
198	588	2369
199	589	2359
200	590	2349
201	592	2339
202	593	2329
203	594	2319
204	595	2310
205	596	2300
206	598	2291
207	599	2282
208	601	2275
209	602	2266
210	603	2257
211	604	2248
212	606	2239
213	607	2230
214	608	2221
215	609	2212
216	610	2204
217	613	2199
218	614	2192
219	616	2184
220	617	2176
221	618	2167
222	620	2161
223	621	2154
224	623	2146
225	624	2138
226	625	2130
227	628	2127
228	629	2120
229	631	2113
230	632	2104
231	633	2097
232	634	2089
233	635	2081
234	636	2073
235	638	2066
236	639	2058
237	640	2050
238	643	2047
239	644	2041
240	645	2034
241	647	2026
242	648	2019
243	649	2012
244	650	2004
245	651	1998
246	653	1992
247	655	1987
248	658	1985
249	659	1978
250	661	1972
251	662	1966
252	663	1960
253	665	1953
254	666	1946
255	667	1939
256	668	1933
257	669	1926
258	672	1922
259	673	1917
260	674	1910
261	676	1904
262	677	1898
263	678	1891
264	679	1885
265	680	1879
266	682	1873
267	683	1866
268	684	1860
269	687	1858
270	688	1852
271	690	1846
272	691	1840
273	692	1834
274	693	1828
275	694	1822
276	695	1816
277	697	1810
278	698	1804
279	699	1799
280	702	1796
281	704	1792
282	705	1786
283	706	1781
284	708	1776
285	710	1773
286	711	1768
287	712	1762
288	714	1756
289	716	1754
290	717	1749
291	719	1743
292	720	1738
293	721	1732
294	722	1727
295	724	1721
296	725	1716
297	726	1711
298	727	1706
299	729	1702
300	731	1697
301	732	1693
302	733	1688
303	735	1683
304	736	1677
305	737	1672
306	738	1667
307	739	1662
308	741	1657
309	742	1652
310	744	1649
311	745	1644
312	747	1640
313	749	1636
314	754	1639
315	763	1652
316	764	1648
317	766	1644
318	767	1639
319	769	1634
320	770	1630
321	772	1625
322	774	1622
323	775	1618
324	777	1615
325	779	1610
326	780	1606
327	781	1602
328	783	1597
329	784	1593
330	786	1589
331	787	1585
332	791	1584
333	792	1581
334	795	1578
335	796	1574
336	798	1570
337	799	1566
338	801	1562
339	803	1559
340	805	1556
341	806	1551
342	808	1547
343	809	1543
344	810	1539
345	812	1535
346	813	1530
347	815	1526
348	818	1526
349	819	1522
350	821	1518
351	823	1515
352	824	1510
353	825	1506
354	826	1502
355	828	1498
356	830	1494
357	831	1492
358	834	1489
359	835	1486
360	837	1482
361	838	1478
362	840	1474
363	841	1470
364	843	1466
365	844	1462
366	845	1458
367	848	1458
368	850	1454
369	852	1450
370	853	1446
